##   ##  ######  ##   ##  ##   ##  #######
##   ##  ##      ### ###  ##   ##    ##   
#######  ##      #######  ##   ##    ##   
##   ##  ##      ## # ##  ##   ##    ##   
##   ##  ######  ##   ##   #####     ##   

author: 2352065-Tranducanh
==== RISC-V Register Update Trace ====
               Time(ns) | PC         INSTR      | Updates
             1405000 | 000000a0  004fff93 | (no reg change)
             1415000 | 000000a4  020f8263 | x31:00000001->00000000 
             1425000 | 00000000  00000000 | (no reg change)
             1435000 | 00000004  ffc00513 | (no reg change)
             1445000 | 00000008  00050113 | (no reg change)
             1455000 | 0000000c  00000097 | (no reg change)
             1465000 | 00000010  038080e7 | x1:00000014->0000000c 
             1475000 | 00000044  08100293 | x1:0000000c->00000014 
             1485000 | 00000048  00051337 | (no reg change)
             1495000 | 0000004c  61530313 | x6:00051615->00051000 
             1505000 | 00000050  057623b7 | x6:00051000->00051615 
             1515000 | 00000054  9f138393 | x7:057619f1->05762000 
             1525000 | 00000058  00100e13 | x7:05762000->057619f1 
             1535000 | 0000005c  00100e93 | (no reg change)
             1545000 | 00000060  00c0006f | (no reg change)
             1555000 | 0000006c  01c60023 | (no reg change)
             1565000 | 00000070  0006cf03 | (no reg change)
             1575000 | 00000074  02ee8fb3 | (no reg change)
             1585000 | 00000078  00ff8fb3 | x31:00000000->00000001 
             1595000 | 0000007c  010fec63 | (no reg change)
             1605000 | 00000080  027fbfb3 | (no reg change)
             1615000 | 00000084  004fdf93 | x31:00000001->057619f2 
             1625000 | 00000088  ffff8f93 | x31:057619f2->0057619f 
             1635000 | 0000008c  0100000f | x31:0057619f->0057619e 
             1645000 | 00000090  0006cf83 | (no reg change)
             1655000 | 00000094  004f7413 | x31:0057619e->00000001 
             1665000 | 00000098  0ffe7f13 | (no reg change)
             1675000 | 0000009c  02041663 | (no reg change)
             1685000 | 000000a0  004fff93 | (no reg change)
             1695000 | 000000a4  020f8263 | x31:00000001->00000000 
             1705000 | 00000000  00000000 | (no reg change)
             1715000 | 00000004  ffc00513 | (no reg change)
             1725000 | 00000008  00050113 | (no reg change)
             1735000 | 0000000c  00000097 | (no reg change)
             1745000 | 00000010  038080e7 | x1:00000014->0000000c 
             1755000 | 00000044  08100293 | x1:0000000c->00000014 
             1765000 | 00000048  00051337 | (no reg change)
             1775000 | 0000004c  61530313 | x6:00051615->00051000 
             1785000 | 00000050  057623b7 | x6:00051000->00051615 
             1795000 | 00000054  9f138393 | x7:057619f1->05762000 
             1805000 | 00000058  00100e13 | x7:05762000->057619f1 
             1815000 | 0000005c  00100e93 | (no reg change)
             1825000 | 00000060  00c0006f | (no reg change)
             1835000 | 0000006c  01c60023 | (no reg change)
             1845000 | 00000070  0006cf03 | (no reg change)
             1855000 | 00000074  02ee8fb3 | (no reg change)
             1865000 | 00000078  00ff8fb3 | x31:00000000->00000001 
             1875000 | 0000007c  010fec63 | (no reg change)
             1885000 | 00000080  027fbfb3 | (no reg change)
             1895000 | 00000084  004fdf93 | x31:00000001->057619f2 
             1905000 | 00000088  ffff8f93 | x31:057619f2->0057619f 
             1915000 | 0000008c  0100000f | x31:0057619f->0057619e 
             1925000 | 00000090  0006cf83 | (no reg change)
             1935000 | 00000094  004f7413 | x31:0057619e->00000001 
             1945000 | 00000098  0ffe7f13 | (no reg change)
             1955000 | 0000009c  02041663 | (no reg change)
             1965000 | 000000a0  004fff93 | (no reg change)
             1975000 | 000000a4  020f8263 | x31:00000001->00000000 
             1985000 | 00000000  00000000 | (no reg change)
             1995000 | 00000004  ffc00513 | (no reg change)
==== END ====
